triggerid,description,priority,lastchange,hosts
0.0,Zabbix server: Excessive value cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.031093884582256676,Zabbix server: Utilization of vmware collector processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03376399655469423,Zabbix server: Utilization of alerter processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.033850129198966405,Zabbix server: Utilization of configuration syncer processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034108527131782945,Zabbix server: Utilization of escalator processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034194659776055125,Zabbix server: Utilization of history syncer processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034280792420327305,Zabbix server: Utilization of housekeeper processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034366925064599485,Zabbix server: Utilization of http poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034453057708871665,Zabbix server: Utilization of icmp pinger processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.034539190353143845,Zabbix server: Utilization of ipmi poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03462532299741602,Zabbix server: Utilization of java poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03479758828596038,Zabbix server: Utilization of poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03488372093023256,Zabbix server: Utilization of proxy poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03496985357450474,Zabbix server: Utilization of self-monitoring processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03505598621877692,Zabbix server: Utilization of snmp trapper processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.0351421188630491,Zabbix server: Utilization of timer processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03522825150732128,Zabbix server: Utilization of trapper processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03531438415159346,Zabbix server: Utilization of unreachable poller processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03540051679586563,Zabbix server: More than 100 items have been missing data for over 10 minutes,0.25,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03548664944013781,Zabbix server: Excessive configuration cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03557278208440999,Zabbix server: Excessive history cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03565891472868217,Zabbix server: Excessive history index cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03574504737295435,Zabbix server: Excessive trends cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.03979328165374677,Zabbix server: Excessive vmware cache usage,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.04160206718346253,Zabbix server: Zabbix value cache working in low-memory mode,0.75,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.04177433247200689,Zabbix server: Utilization of task manager processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.04203273040482343,Zabbix server: Utilization of ipmi manager processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.04237726098191214,Zabbix server: Utilization of alert manager processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
0.04263565891472868,Zabbix server: Utilization of preprocessing manager processes is high,0.5,0.0,"[{'hostid': '10084', 'name': 'Zabbix server'}]"
